C_MODULAR;CENTRO_EDUCATIVO;NIVEL;TIPO;DIRECCION;DISTRITO;UBIGEO;COORDENADAS;TOTAL
466375;0095 MARIA AUXILIADORA;Primaria;Pública de gesti¢n directa;AVENIDA MATERIALES 2005 PALERMO - LIMA CERCADO;LIMA;150101;-12.04113,-77.06812;240
466649;SANTA MARIA REYNA;Primaria;Privada;JIRON JUNIN 1038 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04801,-77.04046;1
478420;0099 OSCAR MIRO QUESADA DE LA GUERRA;Primaria;Pública de gesti¢n directa;JIRON PARURO 231 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04595,-77.02188;69
508903;117 RVDO. PADRE PASCUAL ALEGRE GONZALES;Primaria;Pública de gesti¢n directa;AVENIDA NICOLAS DUEÑAS 702 MIRONES BAJOS - LIMA CERCADO;LIMA;150101;-12.04407,-77.0658;266
526491;SEÑOR DE LUREN;Primaria;Privada;JIRON CRESPO Y CASTILLO 2401 MIRONES BAJOS - LIMA CERCADO;LIMA;150101;-12.03663,-77.07231;71
555953;PNP CAP. ALIPIO PONCE VASQUEZ;Primaria;Pública de gesti¢n directa;AVENIDA SEBASTIAN LORENTE 769 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.050325,-77.012703;267
556431;103 LUIS ARMANDO CABELLO HURTADO;Primaria;Pública de gesti¢n directa;PASAJE ALTO DE LA ALIANZA S/N MANZANILLA - LIMA CERCADO;LIMA;150101;-12.05834,-77.01134;508
587188;INMACULADA VIRGEN DEL TRANSITO;Primaria;Privada;JIRON HUARI 660 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.05132,-77.0142;12
605592;DIVINO CREADOR;Primaria;Privada;JIRON SULLANA 1945 CHACRA RIOS NORTE - LIMA CERCADO;LIMA;150101;-12.05414,-77.06002;130
605600;CESAR VALLEJO;Primaria;Privada;JIRON CRESPO Y CASTILLO 2685 MIRONES BAJOS - LIMA CERCADO;LIMA;150101;-12.0371,-77.07493;169
